stop_id,stop_name
3055,පුල්ලෙයාර් කෝවිල (13 කි.මි. කණුව)
3056,සුරියපුර (සමනල පාලම රජමහ විහාරය)
3057,කන්තලේ සත්ව ගොවිපොල
3058,අල්ල පාලම
3059,සිත්තාරු කළු පාලම
3060,මීගස්ගොඩැල්ල කඳවුර
3061,සිරිමංගලපුර
3062,කල්ලාර් හන්දිය
3063,සෝමපුර ආර්.බි.01
3064,ආර්.බී.03
3065,සේරුනුවර (අලිඔළුව හන්දිය)
3066,අරිප්පු හන්දිය
3067,සේරුවිල විද්‍යාලය / බ්ලොක් 100
3068,වන්නාතමුනෙයි
3069,සේරුවිල
3070,6/2 බෝක්කුව
3071,සෙල්වනගර්(අල්නූර් ම.වි)
3072,තෝප්පූර්
3073,තෝප්පූර් හංදිය
3074,මල්ලිකයිතිව් (ප‍්‍රා.සභා.උප කාර්යාලය)
3075,පච්චනුල් (කින්නියා පාර)
3076,64 කණුව මුස්ලිම් පල්ලිය
3077,පෙරියපාලම් කඩමන්ඩිය
3078,ඔරලෝසුකණුව හංදිය
3079,මූතූර්
3080,දරගල
3081,රතඹ
3082,අඔගස්දොව
3083,බලගල 4 සැතපුම් කණුව
3084,පල්ලෙවෙල 8 කි.මි. කණුව
3085,ලුණුවත්ත
3086,දියතලාව
3087,කහගොල්ල පාසල
3088,කිරිඳිඇල්ල
3089,ඇල්ලේතොට
3090,120 කි.මි කණුව
3091,මඩකලපුව
3092,යෝධ ඇල
3093,බටුකොටුව
3094,යුදගනාව
3095,දිවුලන්කඩවල
3096,විහාර මාවත
3097,මැදිරිගිරිය
3098,සී පී මාවත
3099,දියසෙන්පුර
3100,ගලේවෙල (කලාවැව හන්දිය)
3101,හොරිවිල වෙදගෙදර
3102,අක්කරෙයිපත්තු බස් නැවතුම්පොල
3103,අක්කරෙයිපත්තු ප‍්‍රා.ලේ .කාර්යාලය
3104,අඩ්ඩාලච්චේනෙයි
3105,මිනෝඩයි කඩ්ඩු
3106,පාලමුනෙයි
3107,ඔලුවිල්
3108,පුල්පිටිය හංදිය
3109,අල්ලිමුල්ල
3110,නින්දවූර්
3111,මාදුරුඔය හංදිය (කන්දේගම පාර)
3112,තේක්කවත්ත ගල්පොත්ත
3113,වැලිමඩ කඩේ
3114,යුධහමුදා පුහුණු පාසල
3115,විශේෂ බලකා හංදිය
3116,මාදුරුඔය දියවරගම
3117,වැලිකන්ද
3118,චෛත්‍ය හන්දිය
3119,ජී පී එස් හන්දිය
3120,මැදිරිගිරිය නව නගරය
3121,චෛත්‍ය පාලම
3122,යාය 7
3123,යාය 12 පාලම
3124,මාතර කඩේ
3125,යාය 11
3126,සොරොව්ව
3127,විජයපුර ගාමන්ට්
3128,මීගස්වැව
3129,"වැල්ලවත්ත,බේස්ලයින්,පුත්තලම් පාර"
3130,අසේලපුර (පාසල් පාර)
3131,µමෙත‍්‍රිගම ප‍්‍රාථමික විදුහල
3132,මහසෙන්පුර හංදිය
3133,දේවාලගල
3134,කුරුළුබැද්ද
3135,4 ඇල අක්කර 500 පාර
3136,පො රාජකීය විදුහල කී‍්‍රඩාංගනය
3137,නවනගරය බුදුපිළිමය
3138,PS කොලනිය ගනංගොල්ල හංදිය
3139,PS කොලනිය විදුහල
3140,PS කොලනිය බෝධිය
3141,PS කොලනිය කනත්ත
3142,කලහගල පාසල
3143,කලහගල ඇල පාලම
3144,කලහගල බෝධිය
3145,කලහගල
3146,ගිරාඳුරුකෝට්ටේ
3147,පන්නල (පූර්වාරාම විහාරය)
3148,ලදුපිට (43 කි.මි. කණුව)
3149,පදියපැලැල්ල බස්නැවතුම්පල
3150,කඳුර කඩේ (ගම්පහ බෙභෙත් ශාලාව)
3151,දෙහිපේ
3152,රිකිල්ලගස්කඩ බ.නැ
3153,මාදන්වල හංදිය
3154,හඟුරන්කෙත
3155,සිප්පිතිරල්
3156,කෝවිල් අඩි
3157,සිවතපාලම්
3158,සුරංගල් හංදිය
3159,කච්චකාරතිව්
3160,කුට්ටිකරච්චි
3161,බුහාරි හංදිය
3162,කින්නියා
3163,වෙල්ලමනල් පුස්තකාලය
3164,වෙල්ලායිමනල් හන්දිය
3165,චීන වරාය දුම්රිය ස්ථානය
3166,කොඩ්බේ වරාය
3167,අනුරාධපුර හංදිය
3168,තෑපැල් කන්තෝරු හංදිය
3169,අලස්වත්ත/තෝරන්කාඩු හංදිය
3170,සාම්බල්තිව් හංදිය
3171,6 කණුව (විශ්ව විද්‍යාල හංදිය)
3172,7 කණුව (මුහම්මදියා විදුහල)
3173,8 කණුව (අල් ෆතාහ් විදුහල් පාර)
3174,නිලාවේලි ප‍්‍රාදේශිය රෝහල
3175,කෝපාලම්පුරම් හංදිය
3176,11 කණුව (බිච් හොටෙල් හංදිය)
3177,ඉරකන්ඩි (අල්හම්රා ම.වි)
3178,කුඹුරුපිටිය (පාසල)
3179,නාවච්චෝලි හංදිය (ජර්මන් හඩ හංදිය)
3180,රයිගම් ලුණු
3181,"සල්පආර්, සුනාමි නිවාස(28 කි.මි.කණුව)"
3182,සලපආර් පාලම
3183,ඉරනකේනි දෙමල ම.වි
3184,කුච්චවේලි(ප‍්‍රා.ලේ.කා)
3185,තට්ටක්කල්(36 කි.මි.කනුව)
3186,පල්ලවකුලම්(මුස්ලිම් පල්ලිය)
3187,සාගරපුර ප‍්‍රජාශාලාව
3188,පුඩවයිකට්ටු මුස්ලිම් ම.වි
3189,මදුරන්කුඩා(43 කි.මි. කණුව)
3190,කල්අරාව (සුරුවම)
3191,යාන්ඔය (48 කි.මි. කණුව)
3192,යාන්ඔය පාලම
3193,මහින්ද පාසල
3194,හුනුගල්පිටිය
3195,සියඹලාගස් හන්දිය
3196,බලකඩුව
3197,වරකාමුර
3198,ඇල්වල
3199,ට‍්‍රැක් 6
3200,වැලිඔය හමුදා කඳවුර
3201,නිකවැව හංදිය
3202,ඇතාවැටුනවැව මහාවිද්‍යාලය
3203,නිකවැව (වැව පාර)
3204,13 කණුව (බණ්ඩාරගම)
3205,14 කණුව (ඇත්දත්කල්ල රාහුල වි.)
3206,අලි වංගුව
3207,පේමඩුව හංදිය (විලච්චිය)
3208,මහ විලච්චිය (ග‍්‍රාමීය රෝහල)
3209,කුලරත්න හංදිය
3210,මන්නාරම් හංදිය
3211,1 කණුව (මල්වත්ත පාර)
3212,මිල්ලගස් හංදිය (මොරොන්තුඩුව පාර)
3213,පරදූව (ඉන්ද්‍රජෝත්‍යාරාමය)
3214,ඇලමෝදර හංදිය
3215,ගලපාත (පනාගොඩ හංදිය)
3216,ගල්පාත රෝහල හංදිය
3217,බටගොඩ කඩමණ්ඩිය
3218,කෙසෙල්හේනාව හංදිය
3219,යාල හංදිය
3220,රෙමුණ ශ‍්‍රී බෝධිරුක්ඛාරාමය
3221,වැල්ලපිටිය හංදිය
3222,ශ‍්‍රීපාලී විදුහල
3223,හොරණ
3224,අමරනාගොල්ල (කාර්මික ජනපද පාර)
3225,ආදර්ශ හන්දිය
3226,කහටපිටිය හංදිය
3227,මොරගහහේන
3228,තල්ගහවිල හංදිය
3229,පෝරෙගෙදර පන්සල
3230,විජයවර්ධනාරාමය
3231,උඩුමුල්ල හංදිය
3232,පාදුක්ක
3233,දන්සලේවත්ත(ගො.සේ.කා)
3234,කල්එළිය (පල්ලේවෙල පාර)
3235,හිරිවල හංදිය (බොකලගම පාර)
3236,රජදහන (මහේන්ද්‍ර විජේරත්න මාවත)
3237,මිරිගම
3238,විල්වත්ත(මිරිගම රෝහල)
3239,ලෝලුවාගොඩ(මිරිගම BOI)
3240,ලොලුවාගොඩ ප‍්‍රාථමික විදුහල
3241,ගිරිඋල්ලගම (පත්තිනි දේවාලය)
3242,මහරගම හංදිය(අලව්ව පාර)
3243,අතුරුවල හංදිය(සමුපකාරය)
3244,දඹදෙනිය(ලබුයාය පාර)
3245,සාලියාල (ශ‍්‍රි වර්ධනාරාමය)
3246,මැටියගනේ හංදිය(දංගොල්ල පාර)
3247,කිවුල්ගල්ල(පුරාණ විහාරය)
3248,දම්පැලැස්ස (පොල්ගහවෙල පාර)
3249,කඩහපොල හංදිය
3250,ගැටගහට හංදිය
3251,බෝමුල්ල හංදිය
3252,සියඹලාගස් කොටුව
3253,පොල්පිටිය පිරිවෙන
3254,කටුපොත බස්ගාල
3255,නෙලුම් කණුව
3256,පුබ්බෝව හන්දිය
3257,මාවීහේන හන්දිය
3258,කොළඹගම හංදිය
3259,රඹෑව හංදිය
3260,උසාවිය
3261,කුන්චිකුලම් පාර
3262,කන්නට්ටිය
3263,මිහින්තලේ ඔර්ලෝසු කණුව
3264,ජලසම්පාදනය
3265,කොහොඹගස්කඩ 3කි.මි
3266,තෝනිගල 5කි.මි
